field,cohort,rows,fraud_rate,mean_score,high_score_top5pct_rate,model_positive_050_rate
ProductCD,W,15720,0.018384223918575065,0.02052113987892656,0.020483460559796437,0.0002544529262086514
ProductCD,C,2123,0.1290626471973622,0.12916676215736153,0.19830428638718794,0.09656146961846444
ProductCD,R,958,0.055323590814196244,0.0800184184384497,0.1336116910229645,0.04279749478079332
ProductCD,S,615,0.04227642276422764,0.050929586688249436,0.026016260162601626,0.0065040650406504065
ProductCD,H,584,0.0684931506849315,0.08761392648497528,0.1934931506849315,0.03595890410958904
card4,visa,12864,0.036069651741293535,0.035748224192967325,0.045553482587064674,0.012204601990049751
card4,mastercard,6576,0.030869829683698297,0.04090832863997853,0.055656934306569344,0.017183698296836983
card4,discover,215,0.06046511627906977,0.05350517918556538,0.10232558139534884,0.009302325581395349
card4,american express,177,0.005649717514124294,0.054806546741093254,0.096045197740113,0.011299435028248588
card4,MISSING,168,0.005952380952380952,0.03497935266926938,0.05357142857142857,0.005952380952380952
card6,debit,15121,0.025990344553931618,0.027753167527381203,0.032008465048607895,0.008134382646650354
card6,credit,4711,0.06113351729993632,0.07016696199938867,0.10783273190405435,0.032052642751008276
card6,MISSING,168,0.005952380952380952,0.03420847940884891,0.047619047619047616,0.005952380952380952
addr1,OTHER,8232,0.02052964042759961,0.02561566462438735,0.029640427599611274,0.004008746355685131
addr1,MISSING,2099,0.13101476893758932,0.12950611034213716,0.19723677941877085,0.09766555502620296
addr1,325.0,1521,0.024326101249178174,0.03187225797278528,0.03747534516765286,0.0046022353714661405
addr1,299.0,1498,0.01335113484646195,0.028911430505593742,0.04606141522029372,0.006675567423230975
addr1,204.0,1491,0.03085177733065057,0.0282732677369088,0.042924211938296444,0.002012072434607646
addr1,264.0,1346,0.020802377414561663,0.02434642120243987,0.02823179791976226,0.006686478454680535
addr1,330.0,1152,0.024305555555555556,0.03745807634966151,0.036458333333333336,0.0008680555555555555
addr1,315.0,731,0.017783857729138167,0.01859349350402217,0.009575923392612859,0.0013679890560875513
addr1,441.0,699,0.02575107296137339,0.022897606244278335,0.02575107296137339,0.0
addr1,272.0,677,0.033973412112259974,0.03333747436444247,0.056129985228951254,0.008862629246676515
addr1,337.0,554,0.04512635379061372,0.020264539496942104,0.016245487364620937,0.0
addr2,87.0,17838,0.02253615876219307,0.026666899160963008,0.0318421347684718,0.0036439062675187803
addr2,MISSING,2099,0.13101476893758932,0.12950611034213716,0.19723677941877085,0.09766555502620296
addr2,60.0,39,0.0,0.0734402549293782,0.20512820512820512,0.0
addr2,96.0,13,0.38461538461538464,0.2842654891155551,0.38461538461538464,0.3076923076923077
addr2,16.0,4,0.0,0.15177295142702368,0.25,0.0
addr2,65.0,2,0.0,0.11927665477917285,0.5,0.0
addr2,18.0,1,0.0,0.1809425746737849,1.0,0.0
addr2,32.0,1,0.0,0.035678854443022,0.0,0.0
addr2,34.0,1,0.0,0.0174581255331068,0.0,0.0
addr2,93.0,1,0.0,0.634807399563104,1.0,1.0
addr2,OTHER,1,0.0,0.1676024897063736,1.0,0.0
P_emaildomain,gmail.com,7658,0.0421781143901802,0.043639545379512173,0.06385479237398799,0.020370854008879603
P_emaildomain,MISSING,3584,0.026785714285714284,0.027129935899238095,0.022042410714285716,0.002232142857142857
P_emaildomain,yahoo.com,3391,0.02182247124741964,0.02208703891808656,0.02506635210852256,0.003538779121203185
P_emaildomain,hotmail.com,1375,0.056,0.07274785089552062,0.10254545454545455,0.04290909090909091
P_emaildomain,anonymous.com,1181,0.02286198137171888,0.04113320262643065,0.05927180355630821,0.009314140558848433
P_emaildomain,OTHER,1050,0.023809523809523808,0.030958831376273078,0.04285714285714286,0.004761904761904762
P_emaildomain,aol.com,974,0.017453798767967144,0.026889095298633665,0.026694045174537988,0.003080082135523614
P_emaildomain,comcast.net,223,0.03587443946188341,0.03877000563322211,0.07623318385650224,0.0
P_emaildomain,icloud.com,222,0.03153153153153153,0.02792079069016954,0.036036036036036036,0.0
P_emaildomain,outlook.com,183,0.14207650273224043,0.13381448884557323,0.1912568306010929,0.11475409836065574
P_emaildomain,att.net,159,0.012578616352201259,0.018875557570158973,0.031446540880503145,0.0
R_emaildomain,MISSING,15875,0.018834645669291338,0.02121304659811926,0.02211023622047244,0.0008188976377952755
R_emaildomain,gmail.com,1671,0.14063435068821065,0.12743619485451674,0.20586475164572113,0.09395571514063435
R_emaildomain,hotmail.com,832,0.08774038461538461,0.10775067453837338,0.16466346153846154,0.06971153846153846
R_emaildomain,yahoo.com,569,0.029876977152899824,0.06105449739396925,0.05975395430579965,0.01054481546572935
R_emaildomain,anonymous.com,516,0.03682170542635659,0.06447461234607516,0.10465116279069768,0.025193798449612403
R_emaildomain,OTHER,236,0.038135593220338986,0.04972290471501699,0.08050847457627118,0.01694915254237288
R_emaildomain,aol.com,91,0.03296703296703297,0.0791512644840049,0.16483516483516483,0.03296703296703297
R_emaildomain,outlook.com,80,0.2625,0.26276275766122426,0.3625,0.25
R_emaildomain,comcast.net,46,0.0,0.05511509123144904,0.10869565217391304,0.0
R_emaildomain,icloud.com,42,0.14285714285714285,0.09793380805201857,0.19047619047619047,0.023809523809523808
R_emaildomain,yahoo.com.mx,42,0.0,0.04742516243117509,0.09523809523809523,0.0
DeviceType,MISSING,15933,0.019079897068976337,0.021306854363320516,0.022092512395656815,0.0006903910123642755
DeviceType,desktop,2296,0.0740418118466899,0.09667267668492091,0.13980836236933797,0.05879790940766551
DeviceType,mobile,1771,0.11744776962168267,0.10983436050930188,0.18464144551101072,0.07284020327498589
